,customer_id,Cluster
14186,33308,Extended Household
3586,5360,Extended Household
14114,21024,Extended Household
14189,1246,Extended Household
14200,28476,Extended Household
14210,11669,Extended Household
14218,13747,Extended Household
3580,38787,Extended Household
14229,3717,Extended Household
14251,32655,Extended Household
14253,851,Extended Household
3584,28547,Extended Household
14259,18641,Extended Household
14112,25622,Extended Household
3596,31310,Extended Household
13997,10695,Extended Household
14007,2998,Extended Household
14009,6400,Extended Household
14025,30013,Extended Household
14038,39138,Extended Household
3607,24431,Extended Household
14042,859,Extended Household
14108,13200,Extended Household
14054,39453,Extended Household
14065,39252,Extended Household
14066,12824,Extended Household
14068,2322,Extended Household
14073,7795,Extended Household
14086,12547,Extended Household
14091,25522,Extended Household
14105,6394,Extended Household
14063,23397,Extended Household
13986,15435,Extended Household
14261,4430,Extended Household
14262,12044,Extended Household
14371,10536,Extended Household
14395,25078,Extended Household
14405,7466,Extended Household
14406,16465,Extended Household
3548,39575,Extended Household
14418,1053,Extended Household
14421,2778,Extended Household
3553,3853,Extended Household
14430,8125,Extended Household
14456,6879,Extended Household
14457,24792,Extended Household
14463,25943,Extended Household
14467,21958,Extended Household
3539,32568,Extended Household
14477,21065,Extended Household
3537,20189,Extended Household
14439,5631,Extended Household
3574,25182,Extended Household
14370,8583,Extended Household
3556,9677,Extended Household
14263,16627,Extended Household
14279,33711,Extended Household
3570,34042,Extended Household
14290,37705,Extended Household
14293,2115,Extended Household
14294,14911,Extended Household
14295,20080,Extended Household
14369,37177,Extended Household
14304,22360,Extended Household
14310,37816,Extended Household
14323,19723,Extended Household
14324,3592,Extended Household
3560,17064,Extended Household
14330,4950,Extended Household
14343,27958,Extended Household
14358,25897,Extended Household
3564,32628,Extended Household
13969,8603,Extended Household
13965,25831,Extended Household
13958,13487,Extended Household
13640,2501,Extended Household
13647,12873,Extended Household
13650,11201,Extended Household
3670,30214,Extended Household
13657,23679,Extended Household
3668,3793,Extended Household
13659,17742,Extended Household
13629,29031,Extended Household
13667,8954,Extended Household
13674,25201,Extended Household
13679,21849,Extended Household
13680,29995,Extended Household
13691,18395,Extended Household
13695,39116,Extended Household
13703,38427,Extended Household
13705,35271,Extended Household
13668,35436,Extended Household
13716,14681,Extended Household
13625,20984,Extended Household
13587,34457,Extended Household
13508,23353,Extended Household
3692,19515,Extended Household
13537,15866,Extended Household
3690,14253,Extended Household
13540,29072,Extended Household
13547,20764,Extended Household
13552,12509,Extended Household
13594,4800,Extended Household
3686,15122,Extended Household
3684,5716,Extended Household
3683,37755,Extended Household
13557,9741,Extended Household
13568,1667,Extended Household
13573,23188,Extended Household
13578,13189,Extended Household
13581,13804,Extended Household
3685,28360,Extended Household
13725,16041,Extended Household
13735,32849,Extended Household
13740,3121,Extended Household
13857,31761,Extended Household
13858,29536,Extended Household
13864,15797,Extended Household
3629,33611,Extended Household
13888,14802,Extended Household
13890,569,Extended Household
13903,5461,Extended Household
3633,35575,Extended Household
13917,1261,Extended Household
13922,10934,Extended Household
13924,39,Extended Household
13925,35349,Extended Household
3620,32619,Extended Household
13929,18162,Extended Household
3618,3500,Extended Household
13944,31866,Extended Household
13918,26689,Extended Household
13855,3441,Extended Household
13853,25529,Extended Household
13833,11746,Extended Household
13745,12281,Extended Household
13755,21085,Extended Household
3651,20127,Extended Household
13766,17862,Extended Household
13767,19238,Extended Household
13774,16809,Extended Household
13784,6921,Extended Household
13792,16972,Extended Household
13797,14232,Extended Household
